HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Maidenhead,Halifax,A,0,1,0,0,0,0,0,0,3,1,0,0,2.6,3.2,2.5,2.05,1.75
Sutton,Stockport,D,0,0,0,0,0,0,0,0,1,2,0,0,2.25,3.2,3.0,1.95,1.85
Torquay,Fylde,H,2,1,0,0,0,0,0,0,2,4,0,0,2.15,3.5,3.2,1.65,2.2
Woking,Wrexham,D,1,1,0,0,0,0,0,0,1,2,0,0,2.3,3.2,3.0,1.85,1.95
Harrogate,Ebbsfleet,H,2,0,0,0,0,0,0,0,0,1,0,0,1.85,3.6,3.6,1.75,2.05
Aldershot,Dover Athletic,H,4,0,0,0,0,0,0,0,0,1,0,0,3.25,3.3,2.1,2.07,1.72
Barnet,Bromley,A,1,2,0,0,0,0,0,0,2,0,0,0,2.5,3.25,2.8,2.1,1.7
Barrow,Boreham Wood,H,3,1,0,0,0,0,0,0,2,2,0,0,1.95,3.5,3.4,1.85,1.95
Eastleigh,Maidenhead,H,2,1,0,0,0,0,0,0,2,3,0,0,1.85,3.4,3.8,2.15,1.66
Ebbsfleet,Torquay,A,2,4,0,0,0,0,0,0,0,0,0,0,2.9,3.3,2.25,1.65,2.2
Fylde,Chesterfield,A,1,3,0,0,0,0,0,0,2,2,0,0,2.1,3.3,3.25,1.9,1.9
Halifax,Chorley,D,0,0,0,0,0,0,0,0,1,4,0,0,1.6,4.0,5.25,1.8,2.0
Notts County,Dag and Red,H,2,0,0,0,0,0,0,0,0,0,0,0,2.05,3.25,3.4,2.1,1.7
Solihull,Sutton,H,2,0,0,0,0,0,0,0,0,0,0,0,1.61,3.6,5.0,1.8,2.0
Wrexham,Harrogate,D,1,1,0,0,0,0,0,0,2,5,0,0,2.2,3.3,2.9,2.0,1.8
Yeovil,Woking,H,3,1,0,0,0,0,0,0,1,1,0,0,1.95,3.3,3.6,1.8,2.0
Stockport,Hartlepool,H,2,1,0,0,0,0,0,0,2,2,0,0,2.3,3.2,2.9,1.9,1.9
Aldershot,Hartlepool,A,0,3,0,0,0,0,0,0,0,1,0,0,2.45,3.2,2.9,2.05,1.75
Barnet,Woking,D,2,2,0,0,0,0,0,0,1,3,0,0,1.95,3.5,3.75,2.05,1.75
Eastleigh,Chorley,D,0,0,0,0,0,0,0,0,1,1,0,0,1.85,3.4,4.33,2.0,1.8
Ebbsfleet,Maidenhead,A,1,2,0,0,0,0,0,0,0,2,0,0,2.37,3.4,2.87,1.9,1.9
Halifax,Boreham Wood,A,0,2,0,0,0,0,0,0,3,3,0,0,2.25,3.5,3.0,1.9,1.9
Notts County,Torquay,H,2,0,0,0,0,0,0,0,2,2,0,0,2.15,3.5,3.2,1.85,1.95
Solihull,Bromley,H,2,1,0,0,0,0,0,0,1,2,0,0,2.05,3.75,3.3,1.95,1.85
Yeovil,Harrogate,A,1,2,0,0,0,0,0,0,2,0,0,0,2.15,3.6,3.1,1.8,2.0
Wrexham,Chesterfield,A,0,1,0,0,0,0,0,0,2,1,0,0,2.8,3.1,2.6,2.3,1.6
Boreham Wood,Fylde,A,0,2,0,0,0,0,0,0,0,1,0,0,2.1,3.4,3.4,1.8,2.0
Bromley,Halifax,H,5,0,0,0,0,0,0,0,0,1,0,1,2.1,3.5,3.3,1.85,1.95
Chorley,Yeovil,A,1,2,0,0,0,0,0,0,0,2,0,0,3.25,3.4,2.15,2.07,1.72
Dag and Red,Wrexham,H,2,1,0,0,0,0,0,0,0,1,0,0,2.2,3.25,3.3,2.0,1.8
Dover Athletic,Stockport,A,0,1,0,0,0,0,0,0,2,1,0,0,1.75,3.6,4.75,1.85,1.95
Harrogate,Aldershot,H,1,0,0,0,0,0,0,0,1,2,0,0,1.85,3.6,4.0,1.85,1.95
Hartlepool,Barnet,H,2,0,0,0,0,0,0,0,0,1,0,1,2.37,3.4,2.87,1.95,1.85
Maidenhead,Solihull,H,1,0,0,0,0,0,0,0,2,1,0,0,3.4,3.4,2.1,2.1,1.7
Sutton,Ebbsfleet,A,2,3,0,0,0,0,0,0,2,2,0,0,2.15,3.5,3.2,1.95,1.85
Torquay,Barrow,H,4,2,0,0,0,0,0,0,0,3,0,1,2.3,3.5,2.87,1.72,2.07
Woking,Eastleigh,D,1,1,0,0,0,0,0,0,0,2,0,0,2.37,3.3,2.9,2.05,1.75
Chesterfield,Notts County,H,1,0,0,0,0,0,0,0,1,0,0,0,2.5,3.4,2.7,2.0,1.8
Boreham Wood,Aldershot,D,0,0,0,0,0,0,0,0,1,3,0,0,2.2,3.2,3.3,2.25,1.61
Bromley,Stockport,D,2,2,0,0,0,0,0,0,1,2,0,0,1.72,3.6,4.33,1.85,1.95
Chorley,Ebbsfleet,A,0,4,0,0,0,0,0,0,1,2,0,0,2.5,3.25,2.6,1.95,1.85
Dag and Red,Barrow,A,0,2,0,0,0,0,0,0,0,4,0,0,2.45,3.5,2.55,1.8,2.0
Dover Athletic,Eastleigh,H,3,1,0,0,0,0,0,0,0,0,0,0,2.0,3.5,3.2,1.95,1.85
Harrogate,Barnet,H,2,1,0,0,0,0,0,0,1,1,1,0,2.1,3.4,3.4,1.95,1.85
Maidenhead,Fylde,D,1,1,0,0,0,0,0,0,1,0,0,0,2.87,3.25,2.3,1.85,1.95
Sutton,Halifax,A,0,1,0,0,0,0,0,0,1,2,0,0,2.8,3.25,2.3,2.1,1.7
Torquay,Wrexham,H,1,0,0,0,0,0,0,0,1,2,0,0,2.3,3.4,3.0,1.72,2.07
Woking,Notts County,A,0,4,0,0,0,0,0,0,1,1,0,0,3.1,3.25,2.2,2.0,1.8
Aldershot,Maidenhead,H,2,0,0,0,0,0,0,0,2,3,0,0,2.0,3.5,3.25,2.05,1.75
Barnet,Chorley,H,2,1,0,0,0,0,0,0,2,3,0,0,1.75,3.75,4.0,2.05,1.75
Barrow,Sutton,H,1,0,0,0,0,0,0,0,1,1,0,0,1.66,3.6,4.75,1.85,1.95
Eastleigh,Harrogate,H,4,2,0,0,0,0,0,0,1,1,0,0,2.4,3.4,2.62,2.0,1.8
Ebbsfleet,Chesterfield,D,2,2,0,0,0,0,0,0,0,1,0,0,2.6,3.4,2.4,1.75,2.05
Fylde,Dover Athletic,D,0,0,0,0,0,0,0,0,0,2,0,0,2.05,3.4,3.2,1.8,2.0
Halifax,Torquay,A,2,4,0,0,0,0,0,0,1,1,0,0,2.25,3.4,2.87,1.85,1.95
Notts County,Hartlepool,D,2,2,0,0,0,0,0,0,2,3,0,0,1.85,3.5,3.75,1.95,1.85
Solihull,Dag and Red,H,2,1,0,0,0,0,0,0,2,2,0,0,1.85,3.6,3.6,2.0,1.8
Stockport,Woking,A,1,3,0,0,0,0,0,0,0,1,0,0,2.25,3.4,2.8,1.85,1.95
Wrexham,Bromley,H,1,0,0,0,0,0,0,0,0,0,0,0,2.0,3.6,3.4,1.85,1.95
Yeovil,Boreham Wood,D,1,1,0,0,0,0,0,0,0,0,0,0,2.05,3.4,3.3,1.95,1.85
Hartlepool,Solihull,A,0,1,0,0,0,0,0,0,0,4,0,0,2.6,3.25,2.7,2.0,1.8
Stockport,Dag and Red,H,1,0,0,0,0,0,0,0,1,0,0,0,2.6,3.2,2.8,2.0,1.8
Barnet,Stockport,A,1,2,0,0,0,0,0,0,0,0,0,0,1.95,3.4,3.9,2.0,1.8
Boreham Wood,Maidenhead,H,2,1,0,0,0,0,0,0,1,1,0,1,1.9,3.4,4.0,2.0,1.8
Bromley,Harrogate,D,3,3,0,0,0,0,0,0,1,3,0,0,2.0,3.6,3.5,1.85,1.95
Chesterfield,Chorley,A,2,3,0,0,0,0,0,0,1,0,0,0,1.7,3.75,5.0,1.85,1.95
Dag and Red,Aldershot,H,6,1,0,0,0,0,0,0,1,1,0,0,1.95,3.4,4.0,2.0,1.8
Ebbsfleet,Hartlepool,D,2,2,0,0,0,0,0,0,2,2,1,0,2.62,3.3,2.62,1.8,2.0
Notts County,Barrow,A,0,3,0,0,0,0,0,0,1,2,0,0,2.1,3.4,3.4,1.8,2.0
Solihull,Fylde,H,3,1,0,0,0,0,0,0,0,0,0,0,2.05,3.4,3.5,1.9,1.9
Torquay,Sutton,A,1,2,0,0,0,0,0,0,2,3,0,0,1.57,3.8,6.0,1.8,2.0
Woking,Halifax,D,0,0,0,0,0,0,0,0,1,0,0,1,2.2,3.4,3.2,1.95,1.85
Yeovil,Dover Athletic,A,0,1,0,0,0,0,0,0,1,2,0,0,2.0,3.3,3.75,1.9,1.9
Aldershot,Notts County,H,2,1,0,0,0,0,0,0,2,3,0,0,3.4,3.4,2.1,2.05,1.75
Barrow,Barnet,H,2,1,0,0,0,0,0,0,2,1,0,0,1.85,3.6,4.0,1.9,1.9
Chorley,Torquay,H,1,0,0,0,0,0,0,0,0,1,0,0,3.5,3.4,2.05,1.8,2.0
Dover Athletic,Solihull,D,1,1,0,0,0,0,0,0,2,4,0,0,2.6,3.3,2.7,2.05,1.75
Fylde,Dag and Red,H,3,0,0,0,0,0,0,0,0,1,0,0,2.0,3.6,3.5,1.9,1.9
Halifax,Eastleigh,D,1,1,0,0,0,0,0,0,2,2,0,0,2.3,3.4,3.0,2.05,1.75
Harrogate,Chesterfield,H,3,1,0,0,0,0,0,0,1,3,0,0,2.15,3.4,3.3,1.85,1.95
Hartlepool,Boreham Wood,D,2,2,0,0,0,0,0,0,2,3,0,0,2.05,3.4,3.6,1.9,1.9
Stockport,Ebbsfleet,D,1,1,0,0,0,0,0,0,2,3,0,0,2.1,3.6,3.3,1.8,2.0
Sutton,Bromley,A,0,2,0,0,0,0,0,0,1,5,0,0,2.25,3.4,3.1,2.05,1.75
Wrexham,Yeovil,D,3,3,0,0,0,0,0,0,2,0,0,0,1.83,3.5,4.2,2.05,1.75
Maidenhead,Woking,A,2,3,0,0,0,0,0,0,2,2,0,0,2.8,3.3,2.45,2.05,1.75
Barnet,Ebbsfleet,H,5,2,0,0,0,0,0,0,0,1,0,0,1.9,3.6,4.0,1.72,2.07
Barrow,Chorley,D,2,2,0,0,0,0,0,0,2,3,0,0,1.45,4.33,7.0,1.85,1.95
Chesterfield,Hartlepool,A,1,5,0,0,0,0,0,0,1,0,0,0,2.15,3.5,3.2,1.8,2.0
Dag and Red,Sutton,A,1,2,0,0,0,0,0,0,1,3,0,0,2.05,3.6,3.4,2.07,1.72
Dover Athletic,Maidenhead,A,3,4,0,0,0,0,0,0,1,0,0,1,1.6,3.75,5.75,1.9,1.9
Eastleigh,Torquay,H,3,2,0,0,0,0,0,0,2,3,0,0,2.37,3.4,2.87,1.72,2.07
Harrogate,Halifax,D,2,2,0,0,0,0,0,0,1,2,1,0,1.85,3.5,4.2,1.8,2.0
Notts County,Boreham Wood,D,2,2,0,0,0,0,0,0,4,2,1,0,2.0,3.5,3.6,2.0,1.8
Stockport,Solihull,A,1,4,0,0,0,0,0,0,2,0,0,0,3.1,3.4,2.25,1.95,1.85
