HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Portimonense,Nacional,H,2.1,3.5,3.3,2.05,1.75,1,0,6,6,4,7,1.4,0.6,1.2,1.0
Boavista,Belenenses,D,2.1,3.1,3.75,2.3,1.6,0,0,3,9,2,5,0.6,0.8,1.2,1.0
Sp Braga,Farense,H,1.33,5.0,9.0,1.72,2.07,1,0,6,4,3,6,2.0,1.8,1.0,0.3333333333333333
Maritimo,Benfica,A,9.0,5.5,1.3,1.65,2.2,1,2,6,6,13,5,1.2,0.6,2.4,2.0
Moreirense,Pacos Ferreira,A,3.6,3.25,2.1,2.2,1.65,0,1,7,5,6,7,1.6,0.2,2.4,0.8
Guimaraes,Portimonense,H,1.9,3.5,4.0,2.35,1.57,1,0,2,6,4,8,1.2,2.2,1.4,0.6
Moreirense,Gil Vicente,D,3.1,3.2,2.45,2.3,1.6,1,1,6,5,2,7,1.4,0.2,1.6,0.2
Famalicao,Sp Lisbon,D,5.75,4.2,1.53,1.65,2.2,2,2,8,11,11,3,1.2,1.0,2.2,2.4
Porto,Tondela,H,1.18,7.0,15.0,1.5,2.5,4,3,15,6,6,11,2.4,1.4,1.4,0.8
Nacional,Santa Clara,A,2.75,3.1,2.62,2.25,1.61,1,3,6,9,6,7,1.2,0.8,1.0,1.4
Rio Ave,Boavista,D,1.9,3.3,4.2,2.25,1.61,0,0,6,6,9,11,1.6,1.2,0.8,0.8
Belenenses,Sp Braga,H,6.0,3.8,1.57,1.9,1.9,2,1,3,3,9,6,1.2,1.0,2.4,1.8
Benfica,Pacos Ferreira,H,1.25,5.5,12.0,1.6,2.3,2,1,11,6,6,6,2.4,2.4,2.4,1.2
Farense,Maritimo,H,2.4,3.3,2.87,2.0,1.8,2,1,6,6,5,9,1.0,0.25,1.0,0.6
Portimonense,Famalicao,D,2.4,3.2,3.0,2.15,1.66,0,0,5,5,8,10,1.4,0.6,1.2,1.0
Maritimo,Belenenses,H,2.37,3.1,3.2,2.35,1.57,1,0,7,8,1,4,1.0,0.6,1.2,1.0
Tondela,Moreirense,D,2.37,3.2,3.0,2.4,1.53,0,0,4,7,2,12,1.4,0.8,1.6,0.2
