HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Sociedad,Valencia,A,2.3,3.4,3.1,1.66,2.22,2,3,4,3,3,3,1.5,2.0,2.3333333333333335,1.0
Betis,Levante,H,1.85,3.5,4.5,2.05,1.76,4,0,4,2,1,1,3.0,1.0,2.0,1.0
Celta,Girona,D,1.67,3.6,5.75,2.0,1.81,3,3,4,4,0,2,1.3333333333333333,1.0,1.0,0.5
La Coruna,Getafe,H,2.25,3.25,3.4,1.97,1.84,2,1,3,7,3,2,1.0,0.3333333333333333,1.0,1.6666666666666667
Leganes,Ath Madrid,D,7.5,3.75,1.55,2.49,1.52,0,0,2,2,9,4,1.3333333333333333,2.0,3.0,2.0
Levante,Alaves,A,1.83,3.5,4.5,2.15,1.69,0,2,7,3,0,3,2.0,0.5,0.0,0.0
Sevilla,Malaga,H,1.36,5.5,7.5,1.54,2.42,2,0,5,1,0,7,2.3333333333333335,2.0,0.3333333333333333,0.0
Barcelona,Las Palmas,H,1.08,11.0,26.0,1.14,5.48,3,0,13,1,3,3,3.0,3.0,1.0,1.0
Real Madrid,Espanol,H,1.1,10.0,23.0,1.19,4.5,2,0,3,4,1,6,0.6666666666666666,3.0,2.0,0.6666666666666666
Sociedad,Betis,D,1.95,3.6,3.8,1.67,2.2,4,4,6,6,2,5,1.0,2.0,3.0,1.0
Valencia,Ath Bilbao,H,1.91,3.5,4.2,1.84,1.96,3,2,6,0,4,4,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333
Villarreal,Eibar,H,1.83,3.6,4.33,1.99,1.82,3,0,3,1,2,9,2.0,0.75,1.0,1.0
Espanol,Levante,D,1.75,3.6,5.0,2.09,1.74,0,0,6,3,1,5,2.0,0.5,1.6,0.5
Alaves,Sociedad,A,3.5,3.4,2.15,1.84,1.95,0,2,1,7,7,7,0.0,0.75,1.0,2.0
Ath Bilbao,Sevilla,H,2.5,3.25,2.9,1.93,1.87,1,0,3,2,2,2,1.3333333333333333,1.0,2.5,2.0
Ath Madrid,Barcelona,D,3.0,3.4,2.38,1.89,1.91,1,1,3,0,7,1,3.0,1.8,3.0,3.0
Getafe,Real Madrid,A,10.0,5.75,1.29,1.4,2.86,1,2,5,3,8,2,1.0,1.25,1.25,3.0
Betis,Valencia,A,2.55,3.5,2.7,1.63,2.25,3,6,8,2,6,5,3.0,1.0,2.5,1.6666666666666667
Eibar,La Coruna,D,2.0,3.5,3.75,1.88,1.91,0,0,1,5,4,8,1.0,0.75,1.5,0.3333333333333333
Girona,Villarreal,A,2.8,3.2,2.6,2.16,1.68,1,2,3,6,3,8,1.0,0.6666666666666666,2.3333333333333335,0.75
Malaga,Leganes,A,2.38,3.0,3.4,2.44,1.53,0,2,4,7,3,1,0.3333333333333333,0.0,1.25,2.0
Las Palmas,Celta,A,2.38,3.3,3.1,1.78,2.01,2,5,2,7,6,4,1.0,0.75,1.25,1.0
Barcelona,Malaga,H,1.07,13.0,26.0,1.17,4.64,2,0,16,1,0,9,3.0,2.5,0.25,0.0
Betis,Alaves,H,1.57,4.0,6.0,1.83,1.98,2,0,11,8,2,3,2.25,1.0,0.0,0.75
Levante,Getafe,D,2.37,3.2,3.2,2.31,1.61,1,1,7,5,4,4,1.6,0.6666666666666666,0.75,1.25
Valencia,Sevilla,H,1.85,3.89,4.0,1.59,2.32,4,0,9,2,2,3,2.5,2.0,2.5,1.5
Celta,Ath Madrid,A,4.2,3.39,1.95,2.16,1.69,0,1,7,7,9,4,1.25,1.5,2.3333333333333335,1.8
Leganes,Ath Bilbao,H,2.37,3.1,3.29,2.58,1.48,1,0,2,2,6,7,1.25,2.25,1.75,1.0
