HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
RB Leipzig,Union Berlin,H,1.5,4.33,7.0,1.72,2.1,1,0,8,4,10,7,2.0,1.8,1.8,2.0
M'gladbach,Dortmund,H,3.3,3.75,2.1,1.44,2.75,4,2,10,6,8,7,2.0,1.2,0.8,1.4
Augsburg,Union Berlin,H,3.75,3.4,2.05,2.0,1.8,2,1,4,10,7,7,0.4,1.4,1.8,1.4
Bielefeld,Ein Frankfurt,A,4.75,3.8,1.75,1.72,2.1,1,5,6,3,10,7,1.8,0.8,1.8,1.6
Freiburg,Stuttgart,H,2.62,3.75,2.5,1.57,2.37,2,1,15,5,11,7,2.2,1.4,0.6,1.8
Leverkusen,Wolfsburg,A,2.05,3.6,3.5,1.72,2.1,0,1,8,5,7,8,1.6,1.8,2.6,1.0
Mainz,RB Leipzig,H,7.5,5.0,1.36,1.66,2.2,3,2,1,7,8,6,0.2,1.0,2.0,1.8
Hertha,Werder Bremen,A,2.1,3.5,3.6,2.2,1.66,1,4,8,9,5,9,1.4,0.6,0.8,0.8
Schalke 04,Bayern Munich,A,16.0,8.5,1.14,1.22,4.33,0,4,5,8,9,6,0.6,0.4,2.2,2.0
Hoffenheim,FC Koln,H,1.75,3.75,4.5,1.72,2.1,3,0,7,8,5,7,1.0,1.4,0.4,2.0
Stuttgart,Mainz,H,1.61,4.0,5.0,1.53,2.5,2,0,7,10,7,9,0.6,1.2,0.6,1.0
Bayern Munich,Hoffenheim,H,1.2,8.0,11.0,1.22,4.33,4,1,13,8,7,10,2.2,2.0,1.4,1.4
Dortmund,Augsburg,H,1.25,6.5,9.0,1.36,3.2,3,1,7,11,4,6,0.8,1.2,0.8,1.4
Ein Frankfurt,Hertha,H,1.75,3.8,4.5,1.61,2.3,3,1,10,7,2,6,1.8,2.0,1.4,0.6
Union Berlin,M'gladbach,D,3.2,3.4,2.25,1.8,2.0,1,1,9,7,11,11,1.8,0.8,2.0,1.2
Werder Bremen,Schalke 04,D,1.9,3.5,4.0,1.9,1.9,1,1,5,7,6,14,0.8,1.4,0.6,0.4
RB Leipzig,Leverkusen,H,1.9,3.6,4.0,1.72,2.1,1,0,6,4,10,4,2.0,1.6,1.4,1.8
FC Koln,Bielefeld,H,2.25,3.4,3.2,2.2,1.66,3,1,3,9,2,9,0.4,1.4,1.2,0.8
Wolfsburg,Freiburg,H,1.85,3.8,4.0,1.72,2.1,3,0,12,7,7,7,2.6,1.4,2.6,1.4
Hertha,Bayern Munich,A,7.0,5.75,1.36,1.33,3.4,0,1,7,8,10,5,1.4,0.4,2.6,2.0
Augsburg,Wolfsburg,A,4.75,3.6,1.75,1.9,1.9,0,2,5,10,6,6,0.8,1.2,2.6,1.4
Freiburg,Dortmund,H,5.25,4.33,1.57,1.53,2.5,2,1,15,4,9,10,2.6,1.4,1.4,1.2
Leverkusen,Stuttgart,H,2.0,3.75,3.5,1.53,2.5,5,2,8,6,10,8,1.4,1.2,1.0,1.2
Mainz,Union Berlin,H,3.3,3.4,2.2,2.0,1.8,1,0,3,8,6,8,0.6,0.4,1.8,0.8
