HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Valladolid,Girona,H,1,0,13,6,4,0,4,5,4,3,0,0,2.3,3.3,3.25,2.16,1.7,4,11,7,5,0.4,0.8,0.2,1.8,3.6666666666666665,0.0,3.0,0.0,3.0,0.0,0.6666666666666666,0.0,0.8,2.2,1.6,1.0,0.8,1.6,1.0,1.4,5.0,0.0,1.0,0.0
Ath Madrid,Valencia,H,3,2,14,12,6,4,4,3,3,3,0,0,1.8,3.4,5.0,2.25,1.64,8,3,7,6,2.4,1.8,2.2,2.0,1.6666666666666667,0.0,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.0,2.0,0.3333333333333333,1.6,0.6,0.8,1.4,1.4,0.4,1.2,1.4,1.0,0.0,2.0,1.0
Espanol,Celta,D,1,1,9,18,2,6,2,4,2,1,0,0,2.3,3.2,3.3,1.74,2.09,7,5,3,8,1.6,1.2,1.8,0.4,3.3333333333333335,0.3333333333333333,2.3333333333333335,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0,1.4,1.0,1.2,1.0,1.8,1.8,1.6,0.6,1.0,0.0,2.0,0.0
Leganes,Ath Bilbao,A,0,1,14,3,1,2,2,2,1,2,0,0,2.6,3.0,3.0,2.63,1.47,4,4,3,7,1.6,0.8,2.6,1.2,3.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,0.0,3.0,0.0,0.8,0.8,1.4,0.8,2.0,1.0,1.4,0.6,1.0,0.0,4.0,0.0
Levante,Betis,H,4,0,6,7,4,2,3,4,2,3,0,0,2.5,3.3,2.9,1.55,2.44,7,10,7,6,0.6,0.8,0.8,1.4,2.6666666666666665,0.3333333333333333,3.6666666666666665,0.3333333333333333,3.0,0.0,3.0,0.0,1.4,2.0,1.8,1.6,1.2,2.0,1.2,1.4,4.0,1.0,4.0,0.0
Getafe,Real Madrid,D,0,0,9,12,5,4,9,4,1,3,0,0,4.0,3.6,1.9,1.82,2.0,8,4,11,6,2.4,1.4,2.4,2.0,3.3333333333333335,0.3333333333333333,3.6666666666666665,0.3333333333333333,1.0,0.0,3.6666666666666665,0.3333333333333333,1.6,0.8,1.2,1.4,2.0,0.8,1.2,2.2,3.0,1.0,2.0,0.0
Sevilla,Vallecano,H,5,0,20,12,11,3,5,4,1,2,0,0,1.33,5.25,9.0,1.4,2.88,12,9,6,13,1.8,1.2,1.0,0.0,4.0,0.0,4.333333333333333,0.6666666666666666,3.6666666666666665,0.3333333333333333,2.6666666666666665,0.3333333333333333,2.4,1.8,1.6,0.8,0.6,0.8,2.6,1.2,6.0,1.0,4.0,0.0
Sociedad,Villarreal,A,0,1,13,8,2,3,6,3,2,3,0,0,2.5,3.3,2.9,1.79,2.03,7,5,6,7,1.6,0.4,2.0,1.2,2.0,0.0,1.0,0.3333333333333333,3.0,0.3333333333333333,4.0,0.0,1.4,1.0,2.2,1.0,2.6,1.6,1.4,1.2,1.0,0.0,2.0,0.0
Ath Bilbao,Alaves,D,1,1,14,14,1,3,8,6,2,2,0,0,1.45,4.2,7.5,2.16,1.7,10,5,7,7,2.6,1.2,0.6,1.4,2.3333333333333335,0.0,2.3333333333333335,0.0,4.0,0.0,3.0,0.0,2.0,1.0,1.4,0.6,0.8,2.0,1.4,1.4,2.0,0.0,3.0,0.0
Ath Madrid,Valladolid,H,1,0,13,13,1,4,7,3,4,2,0,0,1.33,4.5,11.0,2.05,1.78,10,2,5,8,3.0,1.8,1.0,0.8,2.0,0.0,2.3333333333333335,0.3333333333333333,3.6666666666666665,0.0,3.0,0.0,2.0,0.4,0.8,1.4,1.0,1.8,1.6,1.0,3.0,0.0,4.0,0.0
Barcelona,Levante,H,1,0,23,7,12,2,6,3,4,3,0,0,1.2,6.5,11.0,1.38,3.0,10,2,8,9,3.0,2.2,1.2,0.8,1.0,0.0,3.3333333333333335,0.0,2.6666666666666665,0.3333333333333333,3.6666666666666665,0.3333333333333333,2.0,0.4,1.0,2.2,2.0,1.6,1.8,1.6,1.0,0.0,2.0,0.0
Leganes,Celta,D,0,0,10,8,1,2,4,6,1,0,0,0,2.37,3.25,3.0,2.35,1.59,3,4,4,9,1.4,0.8,1.8,0.4,1.0,0.0,2.3333333333333335,0.0,1.6666666666666667,0.0,2.0,0.0,0.6,0.8,1.4,0.8,1.8,1.8,1.8,0.8,1.0,0.0,1.0,0.0
Girona,Sevilla,H,1,0,15,7,4,3,3,6,1,2,0,1,4.75,3.4,1.75,1.76,2.06,4,8,4,8,0.2,1.2,2.4,1.2,3.0,0.0,1.3333333333333333,0.0,3.3333333333333335,0.0,4.333333333333333,0.6666666666666666,0.8,1.6,1.0,1.0,3.0,1.0,1.6,0.8,3.0,0.0,1.0,0.0
Sociedad,Getafe,H,2,1,11,12,7,3,5,7,2,3,0,0,2.6,3.2,2.75,2.39,1.57,4,6,7,6,1.0,0.4,2.0,1.4,2.0,0.0,1.0,0.3333333333333333,2.0,0.3333333333333333,3.6666666666666665,0.3333333333333333,0.8,1.2,2.2,1.0,1.2,0.6,1.2,1.4,2.0,0.0,1.0,0.0
Valencia,Eibar,A,0,1,7,13,2,3,7,6,2,3,0,0,1.45,4.5,6.5,1.58,2.38,7,2,5,8,2.2,1.8,1.4,0.6,2.3333333333333335,0.0,2.6666666666666665,0.3333333333333333,3.0,0.0,1.3333333333333333,0.0,1.4,0.4,1.6,1.6,1.2,1.2,1.6,1.0,3.0,0.0,1.0,0.0
Vallecano,Real Madrid,H,1,0,11,9,5,3,6,6,2,5,0,0,7.5,4.5,1.4,1.43,2.76,3,4,8,5,1.0,0.0,2.4,1.6,3.6666666666666665,0.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,0.0,2.6666666666666665,0.0,0.6,0.8,3.2,1.0,2.0,0.8,1.0,1.6,2.0,0.0,3.0,0.0
Villarreal,Huesca,D,1,1,18,13,5,3,0,1,5,2,0,1,1.55,4.0,6.5,1.59,2.37,13,8,6,8,2.0,1.8,1.6,0.6,3.0,0.3333333333333333,4.0,0.0,2.3333333333333335,0.0,3.0,0.0,2.6,1.6,1.0,1.4,1.6,1.4,1.6,1.2,3.0,0.0,4.0,0.0
Betis,Espanol,D,1,1,18,10,5,4,6,5,4,1,0,0,2.3,3.3,3.1,1.81,2.0,6,10,5,6,0.8,0.8,1.6,1.2,3.0,0.0,3.0,0.0,3.0,0.0,2.3333333333333335,0.0,1.2,2.0,2.0,1.0,1.4,1.0,1.2,1.0,3.0,0.0,2.0,0.0
Sevilla,Leganes,A,0,3,7,9,3,5,3,4,1,1,0,0,1.36,5.0,8.5,1.69,2.18,15,5,4,7,2.4,1.2,1.0,0.8,3.3333333333333335,0.0,3.6666666666666665,0.6666666666666666,0.6666666666666666,0.0,2.3333333333333335,0.0,3.0,1.0,1.2,0.8,0.4,0.8,1.4,0.8,2.0,1.0,1.0,0.0
Alaves,Sociedad,A,0,1,17,9,6,2,13,6,1,3,0,0,2.5,3.25,2.9,2.18,1.68,4,10,5,11,0.6,1.4,1.6,0.4,4.0,0.0,2.6666666666666665,0.0,2.0,0.0,1.0,0.3333333333333333,0.8,2.0,1.4,1.4,1.2,1.0,2.2,1.0,2.0,0.0,2.0,0.0
Celta,Barcelona,H,2,0,14,8,6,1,11,1,1,5,0,0,2.15,3.6,3.25,1.7,2.15,9,9,11,5,1.8,0.6,3.0,2.2,1.6666666666666667,0.0,1.0,0.0,2.3333333333333335,0.0,3.3333333333333335,0.0,1.8,1.8,1.6,0.8,2.0,0.4,1.0,2.2,0.0,0.0,4.0,0.0
Espanol,Ath Madrid,H,3,0,11,11,5,3,5,6,1,2,0,0,3.8,3.3,2.05,2.23,1.65,7,5,7,4,1.6,1.2,3.0,1.8,3.0,0.0,1.3333333333333333,0.0,3.0,0.0,2.3333333333333335,0.3333333333333333,1.4,1.0,1.4,1.2,1.8,0.4,0.8,1.4,1.0,0.0,4.0,0.0
Levante,Vallecano,H,4,1,12,20,7,3,6,7,1,4,0,1,1.95,3.8,3.6,1.5,2.54,10,8,5,16,1.2,0.2,1.6,0.0,2.6666666666666665,0.3333333333333333,4.0,0.3333333333333333,2.6666666666666665,0.0,2.3333333333333335,0.3333333333333333,2.0,1.6,1.8,0.8,0.8,0.6,3.2,1.0,3.0,0.0,2.0,0.0
Eibar,Betis,H,1,0,14,12,6,6,11,8,3,2,0,0,2.05,3.6,3.5,1.76,2.06,6,6,5,10,1.4,1.0,0.8,0.8,3.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,1.2,1.2,1.4,1.0,1.2,2.0,2.0,1.0,3.0,0.0,4.0,0.0
Getafe,Girona,H,2,0,13,4,8,2,1,3,3,3,0,1,1.8,3.6,4.75,2.33,1.6,6,3,5,5,2.0,1.2,0.6,1.2,2.0,0.3333333333333333,3.3333333333333335,0.3333333333333333,2.6666666666666665,0.0,1.3333333333333333,0.0,1.2,0.6,1.2,1.2,1.0,1.6,1.0,1.0,3.0,0.0,1.0,0.0
Huesca,Valencia,A,2,6,24,10,4,7,7,5,2,1,0,0,3.5,3.4,2.1,1.76,2.06,8,7,8,8,1.6,0.6,2.0,1.8,2.3333333333333335,0.0,2.6666666666666665,0.3333333333333333,2.0,0.0,2.6666666666666665,0.3333333333333333,1.6,1.4,1.6,1.2,1.4,0.6,1.6,1.6,2.0,1.0,2.0,0.0
Real Madrid,Villarreal,H,3,2,24,15,11,7,8,3,0,3,0,0,1.7,4.0,4.75,1.49,2.58,10,4,7,5,2.4,1.0,1.6,1.8,1.0,0.0,3.6666666666666665,0.0,3.6666666666666665,0.3333333333333333,4.0,0.0,2.0,0.8,1.0,1.2,2.2,1.8,1.0,1.4,5.0,0.0,5.0,0.0
Valladolid,Ath Bilbao,H,1,0,10,9,3,1,1,3,5,5,0,0,2.9,3.1,2.6,2.52,1.52,5,9,3,7,1.0,0.8,2.2,1.2,3.6666666666666665,0.0,3.0,0.0,2.0,0.0,2.3333333333333335,0.0,1.0,1.8,1.6,1.0,2.0,1.2,1.4,0.6,2.0,0.0,2.0,0.0
Ath Bilbao,Celta,H,3,1,8,3,4,2,3,3,4,3,0,0,2.0,3.5,3.8,2.09,1.74,10,6,4,8,2.2,1.2,2.4,0.6,2.0,0.0,3.6666666666666665,0.0,1.6666666666666667,0.0,1.0,0.0,2.0,1.2,1.2,0.6,2.0,1.0,1.6,0.8,5.0,0.0,1.0,0.0
Ath Madrid,Sevilla,D,1,1,11,11,4,5,5,7,5,4,0,0,2.1,3.6,3.4,1.85,1.95,9,2,4,6,3.0,1.2,1.8,1.2,3.0,0.0,2.3333333333333335,0.3333333333333333,2.6666666666666665,0.0,3.6666666666666665,0.6666666666666666,1.8,0.4,1.4,1.0,2.0,1.2,1.2,0.8,2.0,0.0,1.0,0.0
Barcelona,Getafe,H,2,0,13,11,8,0,4,3,1,3,0,0,1.53,4.33,6.0,1.63,2.27,10,2,6,6,3.0,1.6,2.0,1.2,2.3333333333333335,0.0,2.6666666666666665,0.0,2.3333333333333335,0.3333333333333333,3.3333333333333335,0.3333333333333333,2.0,0.4,1.4,2.0,1.2,0.4,1.2,1.2,5.0,0.0,3.0,0.0
Betis,Huesca,H,2,1,17,9,8,2,9,2,3,5,0,1,1.55,4.33,5.75,1.53,2.46,6,10,6,8,0.8,0.2,1.0,0.6,4.0,0.0,2.6666666666666665,0.0,2.3333333333333335,0.0,2.6666666666666665,0.3333333333333333,1.2,2.0,2.2,0.8,1.6,2.4,1.6,1.2,2.0,0.0,2.0,0.0
