HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Peterboro,Oxford,A,1,4,18,13,7,6,5,5,1,2,0,0,1.91,3.5,3.8,1.61,2.24
Portsmouth,Oldham,A,1,2,9,19,2,6,4,4,1,6,0,0,1.45,4.2,7.5,1.73,2.06
Rotherham,Northampton,H,1,0,21,13,12,4,12,9,2,1,0,0,1.67,3.6,5.25,1.69,2.11
Shrewsbury,Scunthorpe,H,2,0,9,12,3,5,4,7,1,2,0,0,2.5,3.4,2.7,2.17,1.65
Southend,Blackpool,H,2,1,10,16,4,7,3,12,2,0,0,0,2.1,3.5,3.25,1.88,1.89
Wigan,Walsall,H,2,0,14,6,5,0,9,5,2,1,0,0,1.4,4.75,7.0,1.68,2.12
Doncaster,Southend,H,4,1,13,11,6,5,5,5,2,4,0,1,2.15,3.7,3.4,1.87,1.91
Milton Keynes Dons,Bradford,A,1,4,11,22,5,10,5,13,4,2,1,0,2.8,3.4,2.7,2.08,1.73
Northampton,Bristol Rvs,A,0,6,12,24,3,16,10,9,1,0,1,0,3.0,3.6,2.4,1.78,2.01
Oxford,AFC Wimbledon,H,3,0,12,8,5,1,1,5,0,0,0,0,2.2,3.6,3.4,1.97,1.81
Plymouth,Fleetwood Town,A,1,2,6,8,4,4,5,7,0,4,0,0,3.1,3.5,2.4,1.94,1.84
Rochdale,Rotherham,A,0,1,11,13,2,7,8,7,4,2,0,0,2.75,3.6,2.63,1.75,2.04
Scunthorpe,Wigan,A,1,2,7,13,5,5,6,10,3,1,0,1,3.5,3.4,2.25,2.22,1.63
Walsall,Shrewsbury,D,1,1,6,5,3,1,6,7,1,1,0,0,2.6,3.5,2.8,1.99,1.79
Gillingham,Portsmouth,A,0,1,4,16,0,3,3,9,1,2,0,0,4.5,3.8,1.85,1.95,1.83
Bristol Rvs,Oxford,A,0,1,15,11,3,4,5,4,3,4,0,0,2.15,3.6,3.5,1.63,2.2
Bury,Bradford,H,3,1,15,14,10,4,6,13,2,1,0,0,3.2,3.6,2.3,1.86,1.9
Charlton,Doncaster,H,1,0,13,7,7,3,2,5,4,3,0,0,2.4,3.75,2.9,1.83,1.93
Fleetwood Town,Rochdale,D,2,2,7,10,3,6,3,4,0,0,1,0,2.6,3.5,2.8,2.07,1.72
Northampton,AFC Wimbledon,A,0,1,8,6,4,3,6,5,4,1,0,0,3.0,3.5,2.45,2.17,1.65
Oldham,Blackburn,H,1,0,16,9,7,3,3,4,1,4,0,0,4.75,3.75,1.83,1.98,1.79
Peterboro,Gillingham,A,0,1,17,12,7,4,8,3,1,3,0,0,1.45,5.0,7.5,1.55,2.36
Plymouth,Shrewsbury,D,1,1,7,11,4,5,6,9,0,1,0,0,3.6,3.5,2.15,2.04,1.73
Portsmouth,Milton Keynes Dons,H,2,0,11,6,3,1,5,6,1,3,0,0,1.8,3.8,4.75,1.96,1.79
Rotherham,Scunthorpe,H,2,0,11,12,8,5,6,8,2,1,0,0,1.95,3.75,4.2,1.94,1.83
Walsall,Blackpool,D,1,1,13,12,1,6,4,8,0,2,0,0,2.6,3.5,2.8,1.88,1.89
Wigan,Southend,H,3,0,15,5,8,0,9,2,0,0,0,1,1.53,4.5,6.5,1.78,1.98
AFC Wimbledon,Rotherham,H,3,1,8,12,5,5,7,5,0,2,0,0,3.2,3.4,2.4,2.1,1.69
Blackburn,Plymouth,D,1,1,25,8,4,4,16,1,1,0,0,0,1.5,4.5,7.5,1.75,2.04
Blackpool,Bury,H,2,1,12,21,6,6,3,7,2,1,0,0,1.91,3.8,4.2,1.84,1.94
Bradford,Oldham,D,1,1,19,12,2,7,10,3,3,3,0,0,1.75,3.9,5.0,1.81,1.97
Doncaster,Portsmouth,H,2,1,3,8,1,1,6,4,1,2,0,1,2.55,3.5,2.9,2.09,1.72
Gillingham,Wigan,D,1,1,12,17,3,4,3,7,0,1,0,0,8.5,4.5,1.45,1.77,2.01
Milton Keynes Dons,Walsall,D,1,1,12,11,4,4,8,1,1,0,0,0,2.3,3.5,3.25,1.91,1.87
Oxford,Charlton,D,1,1,18,15,4,3,4,2,2,1,0,0,2.7,3.5,2.7,1.79,1.99
Rochdale,Northampton,D,2,2,16,14,6,5,3,4,2,1,0,0,1.73,3.75,5.5,1.89,1.88
Scunthorpe,Fleetwood Town,D,1,1,13,14,6,6,3,2,0,1,0,0,1.95,3.6,4.2,2.07,1.72
Shrewsbury,Bristol Rvs,H,4,0,11,9,6,3,1,4,0,1,0,0,2.6,3.6,2.75,1.79,1.98
Southend,Peterboro,D,1,1,19,18,6,7,6,5,2,2,0,0,2.63,3.75,2.63,1.61,2.24
AFC Wimbledon,Plymouth,A,0,1,18,8,5,2,18,6,2,0,0,0,1.75,3.75,5.25,2.06,1.73
Blackburn,Portsmouth,H,3,0,10,7,6,3,3,2,1,1,1,0,2.1,3.5,3.79,2.1,1.71
