HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Kasimpasa,Konyaspor,H,2.25,3.5,3.0,1.84,1.94,2,1,11,9,4,9,1.6,0.6,1.4,0.2
Sivasspor,Trabzonspor,A,2.5,3.2,2.87,1.78,1.99,1,2,7,7,6,8,1.4,1.8,1.8,0.6
Kayserispor,Buyuksehyr,D,2.79,3.39,2.39,1.99,1.78,1,1,9,4,8,5,2.2,1.6,2.6,2.0
Akhisar Belediyespor,Yeni Malatyaspor,D,1.75,3.5,4.75,1.91,1.87,0,0,8,9,8,9,2.0,0.8,1.0,1.2
Besiktas,Galatasaray,H,1.8,3.75,4.2,1.77,2.01,3,0,7,4,7,9,1.8,1.4,2.6,1.4
Karabukspor,Goztep,A,2.7,3.2,2.7,1.73,2.07,0,1,3,8,9,6,0.6,0.0,1.4,2.0
Buyuksehyr,Osmanlispor,H,1.57,4.0,5.5,1.69,2.12,1,0,13,6,6,13,2.6,1.6,2.0,0.2
Fenerbahce,Kasimpasa,H,1.44,4.5,6.5,1.58,2.29,4,2,14,9,4,9,2.0,1.6,1.6,0.6
Genclerbirligi,Sivasspor,H,2.54,3.2,2.75,1.95,1.83,4,0,5,6,9,11,1.2,0.2,1.4,1.8
Konyaspor,Bursaspor,A,2.04,3.25,3.75,1.95,1.83,0,3,4,5,8,9,1.4,0.2,2.0,1.0
Alanyaspor,Kayserispor,A,2.54,3.25,2.75,1.62,2.23,1,2,8,8,8,6,1.4,1.4,2.2,1.6
Trabzonspor,Antalyaspor,H,1.75,3.5,4.75,1.72,2.08,3,0,13,15,3,11,1.8,1.2,1.8,0.4
Bursaspor,Fenerbahce,A,3.39,3.6,2.04,1.67,2.15,0,1,10,4,6,3,2.0,1.6,2.6,1.6
Antalyaspor,Genclerbirligi,D,1.9,3.39,4.0,1.91,1.88,1,1,8,6,7,17,1.8,0.2,1.8,0.2
Galatasaray,Akhisar Belediyespor,H,1.28,5.0,11.0,1.57,2.33,4,2,12,3,7,7,2.6,1.2,1.6,0.8
Kasimpasa,Trabzonspor,A,3.1,3.39,2.25,1.65,2.19,0,3,10,8,6,6,1.6,0.6,1.8,1.2
Yeni Malatyaspor,Goztep,A,2.5,3.29,2.79,1.82,1.96,2,3,4,7,8,6,1.0,1.4,1.4,2.0
Kayserispor,Besiktas,D,4.5,3.75,1.72,1.79,2.0,1,1,8,3,7,6,2.2,1.6,1.8,1.4
Osmanlispor,Alanyaspor,H,2.0,3.6,3.5,1.54,2.4,3,0,11,5,12,10,2.0,0.0,1.2,1.4
Sivasspor,Buyuksehyr,H,3.39,3.29,2.14,1.9,1.88,1,0,8,7,6,4,1.4,1.8,2.6,1.6
Konyaspor,Karabukspor,H,1.9,3.5,3.89,1.98,1.8,2,0,4,6,5,12,1.4,0.2,0.6,0.0
Alanyaspor,Sivasspor,D,2.2,3.29,3.29,1.56,2.37,1,1,8,9,9,12,1.2,0.8,2.0,1.8
Genclerbirligi,Kasimpasa,D,2.1,3.25,3.6,1.77,2.02,0,0,8,4,5,11,1.8,0.4,1.4,0.6
Trabzonspor,Bursaspor,H,1.61,4.0,5.25,1.57,2.34,1,0,13,14,10,7,1.8,1.6,2.0,1.6
Akhisar Belediyespor,Kayserispor,A,2.54,3.2,2.79,2.0,1.79,0,2,6,8,8,7,1.6,0.8,1.8,1.6
Besiktas,Osmanlispor,H,1.22,5.75,13.0,1.5,2.52,5,1,8,3,4,12,1.8,1.6,2.6,0.0
Buyuksehyr,Antalyaspor,H,1.5,4.33,6.0,1.64,2.19,4,1,12,5,2,13,2.6,1.6,1.4,0.2
Yeni Malatyaspor,Galatasaray,H,5.0,3.75,1.66,1.73,2.06,2,1,4,6,6,11,1.0,1.4,2.6,1.2
Fenerbahce,Karabukspor,H,1.22,6.0,12.0,1.54,2.39,2,0,16,8,4,12,2.6,1.6,0.6,0.0
Goztep,Konyaspor,H,2.0,3.29,3.79,1.87,1.91,1,0,10,10,4,9,1.4,2.0,1.4,0.2
Antalyaspor,Alanyaspor,H,2.39,3.6,2.79,1.58,2.31,3,1,6,7,8,10,1.4,0.2,1.4,0.8
Bursaspor,Genclerbirligi,D,1.9,3.6,3.75,1.85,1.93,1,1,9,3,6,15,2.0,1.0,1.4,0.4
Konyaspor,Fenerbahce,D,4.0,3.6,1.85,2.04,1.75,1,1,4,6,3,2,1.4,0.2,2.6,1.6
Sivasspor,Besiktas,H,5.25,3.79,1.64,1.69,2.13,2,1,7,4,7,5,2.0,1.4,1.8,1.6
Galatasaray,Goztep,H,1.33,5.0,9.0,1.44,2.67,3,1,14,5,8,6,2.6,0.6,1.4,2.0
Karabukspor,Trabzonspor,D,4.33,3.5,1.83,1.81,1.97,1,1,3,8,7,4,0.6,0.0,2.4,1.6
Kasimpasa,Buyuksehyr,A,4.2,3.6,1.83,1.75,2.04,1,2,9,10,6,4,1.4,0.8,3.0,1.6
Kayserispor,Yeni Malatyaspor,A,1.66,3.75,5.0,2.0,1.79,0,1,7,4,6,6,1.8,2.0,1.4,1.4
Osmanlispor,Akhisar Belediyespor,H,1.9,3.6,3.75,1.82,1.96,3,2,12,1,9,9,2.6,0.0,1.0,0.8
Kasimpasa,Alanyaspor,H,2.2,3.6,3.0,1.5,2.51,3,2,8,9,8,11,1.4,0.8,1.4,0.8
Fenerbahce,Goztep,H,1.36,5.25,7.0,1.44,2.69,2,1,16,7,6,8,2.6,1.8,1.4,1.4
Karabukspor,Genclerbirligi,A,3.39,3.25,2.14,2.13,1.69,0,2,2,5,6,12,0.8,0.0,1.4,0.6
Osmanlispor,Yeni Malatyaspor,D,1.9,3.39,4.0,1.95,1.84,0,0,12,3,3,4,2.6,0.0,1.4,1.4
Antalyaspor,Besiktas,A,6.5,4.5,1.44,1.63,2.2,1,2,8,5,7,5,2.0,0.2,1.8,1.6
Bursaspor,Buyuksehyr,A,3.89,3.5,1.9,1.76,2.02,0,3,7,3,6,4,1.6,1.0,3.0,1.6
Konyaspor,Trabzonspor,D,2.75,3.29,2.5,2.1,1.71,2,2,5,5,6,3,1.6,0.2,2.4,1.6
Sivasspor,Akhisar Belediyespor,D,2.0,3.5,3.6,1.88,1.9,1,1,6,4,5,11,2.0,1.4,1.0,0.2
Kayserispor,Galatasaray,A,3.5,3.39,2.04,1.81,1.96,1,3,4,4,5,12,1.2,2.0,2.6,0.6
Besiktas,Kasimpasa,H,1.28,5.75,8.5,1.41,2.81,2,1,11,4,5,9,1.8,1.6,1.4,0.8
Genclerbirligi,Konyaspor,H,2.29,3.2,3.2,2.49,1.51,2,1,7,4,4,8,1.4,1.0,1.2,0.2
Alanyaspor,Bursaspor,H,2.14,3.39,3.29,1.53,2.42,3,1,8,6,6,6,1.4,0.6,1.0,1.0
Galatasaray,Osmanlispor,H,1.39,5.0,6.5,1.47,2.58,2,0,14,4,5,14,2.6,0.6,2.2,0.0
Goztep,Kayserispor,D,2.5,3.25,2.79,1.92,1.85,1,1,8,8,9,6,1.4,1.4,0.6,2.0
Akhisar Belediyespor,Antalyaspor,D,2.0,3.39,3.75,1.79,2.0,1,1,4,9,3,15,1.0,0.4,1.4,0.2
Trabzonspor,Fenerbahce,D,2.37,3.2,3.0,1.77,2.01,1,1,11,10,4,2,2.4,1.8,2.6,1.8
Yeni Malatyaspor,Sivasspor,H,2.37,3.2,3.0,2.05,1.74,1,0,5,6,6,11,1.4,1.6,2.0,1.4
Buyuksehyr,Karabukspor,H,1.22,5.5,15.0,1.47,2.59,5,0,14,4,2,11,3.0,2.0,0.2,0.0
Bursaspor,Besiktas,D,4.75,4.2,1.61,1.6,2.27,2,2,3,6,7,5,1.0,1.0,2.2,1.6
