HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Virtus Entella,Cesena,D,2,2,10.0,8.0,4.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,2.2,3.1,3.5,1.97,1.79
Empoli,Spezia,D,1,1,17.0,7.0,5.0,2.0,8.0,8.0,2.0,2.0,0.0,0.0,1.55,3.6,7.0,2.01,1.76
Perugia,Avellino,D,1,1,11.0,11.0,7.0,7.0,4.0,6.0,3.0,3.0,0.0,0.0,1.9,3.39,4.0,1.77,1.99
Avellino,Virtus Entella,D,0,0,6.0,6.0,1.0,1.0,8.0,5.0,1.0,3.0,0.0,0.0,2.0,3.2,4.0,1.89,1.87
Pro Vercelli,Empoli,H,2,1,9.0,12.0,5.0,6.0,3.0,1.0,3.0,2.0,0.0,0.0,3.6,3.1,2.14,2.01,1.76
Spezia,Frosinone,D,1,1,11.0,12.0,5.0,3.0,2.0,4.0,4.0,2.0,0.0,0.0,2.79,3.0,2.7,2.39,1.53
Ascoli,Foggia,A,0,2,9.0,8.0,3.0,3.0,6.0,9.0,1.0,1.0,0.0,0.0,2.5,3.2,2.87,1.71,2.07
Bari,Pescara,H,1,0,11.0,6.0,6.0,2.0,5.0,4.0,1.0,4.0,0.0,0.0,1.83,3.5,4.33,1.56,2.33
Carpi,Brescia,D,1,1,5.0,6.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,3.1,4.2,2.27,1.57
Cesena,Salernitana,D,3,3,10.0,15.0,4.0,8.0,4.0,4.0,4.0,3.0,0.0,1.0,2.2,3.0,3.6,1.97,1.79
Cittadella,Parma,A,1,2,9.0,12.0,3.0,6.0,2.0,4.0,2.0,0.0,1.0,0.0,2.0,3.39,3.75,2.11,1.68
Cremonese,Palermo,A,1,2,11.0,6.0,3.0,4.0,11.0,2.0,3.0,0.0,0.0,0.0,2.37,3.2,3.0,2.14,1.66
Ternana,Novara,D,1,1,9.0,4.0,4.0,1.0,16.0,2.0,1.0,2.0,0.0,0.0,2.29,3.1,3.2,2.06,1.72
Venezia,Perugia,H,1,0,7.0,3.0,2.0,1.0,7.0,2.0,2.0,4.0,0.0,1.0,2.29,2.89,3.5,2.05,1.72
Frosinone,Avellino,D,1,1,15.0,10.0,6.0,4.0,12.0,3.0,1.0,3.0,0.0,0.0,1.53,3.75,7.0,1.81,1.95
Brescia,Spezia,D,1,1,5.0,9.0,1.0,6.0,5.0,3.0,3.0,3.0,1.0,0.0,2.25,3.0,3.5,2.46,1.5
Empoli,Cesena,H,5,3,12.0,12.0,8.0,6.0,3.0,10.0,2.0,2.0,0.0,0.0,1.53,4.0,6.5,1.68,2.13
Foggia,Ternana,D,1,1,12.0,10.0,1.0,5.0,8.0,5.0,1.0,2.0,0.0,0.0,1.64,3.75,5.25,1.55,1.55
Novara,Bari,A,1,2,14.0,9.0,4.0,3.0,10.0,2.0,3.0,3.0,0.0,0.0,2.75,3.0,2.75,2.29,1.58
Parma,Ascoli,H,4,0,11.0,7.0,8.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1.61,3.6,6.0,2.03,1.74
Perugia,Carpi,H,5,0,10.0,3.0,6.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,1.8,3.25,5.0,2.23,1.61
Pescara,Pro Vercelli,H,3,1,16.0,10.0,9.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,1.72,3.6,5.0,1.6,2.24
Virtus Entella,Venezia,D,0,0,16.0,8.0,7.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,2.5,3.0,3.0,2.22,1.62
Salernitana,Cremonese,D,1,1,10.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,0.0,0.0,2.25,3.0,3.5,1.84,1.92
Palermo,Cittadella,A,0,3,7.0,19.0,3.0,9.0,4.0,12.0,1.0,3.0,0.0,0.0,1.83,3.39,4.5,2.08,1.7
Empoli,Frosinone,D,3,3,12.0,11.0,9.0,6.0,8.0,3.0,2.0,1.0,0.0,0.0,2.1,3.2,3.6,1.91,1.86
Ascoli,Cremonese,D,0,0,6.0,7.0,3.0,6.0,3.0,6.0,4.0,3.0,0.0,0.0,3.75,3.2,2.04,1.93,1.84
Avellino,Palermo,A,1,3,8.0,9.0,3.0,4.0,8.0,5.0,2.0,0.0,0.0,1.0,2.75,3.25,2.54,2.1,1.7
Carpi,Parma,H,2,1,9.0,9.0,6.0,3.0,1.0,6.0,1.0,1.0,0.0,0.0,2.7,3.0,2.75,2.44,1.52
Cittadella,Salernitana,H,2,1,11.0,5.0,3.0,2.0,7.0,3.0,4.0,3.0,0.0,0.0,1.85,3.5,4.2,1.77,2.0
Pro Vercelli,Virtus Entella,D,1,1,9.0,5.0,1.0,3.0,5.0,3.0,4.0,4.0,0.0,0.0,2.2,3.0,3.6,2.18,1.64
Spezia,Pescara,H,4,0,12.0,1.0,6.0,1.0,5.0,9.0,2.0,0.0,0.0,0.0,2.2,3.5,3.1,1.81,1.96
Venezia,Novara,A,1,3,11.0,6.0,5.0,5.0,9.0,4.0,3.0,3.0,0.0,0.0,1.85,3.2,4.75,2.31,1.57
Bari,Foggia,H,1,0,10.0,8.0,4.0,3.0,4.0,5.0,2.0,5.0,0.0,1.0,1.75,3.75,4.33,1.6,2.25
Ternana,Perugia,D,1,1,4.0,7.0,3.0,2.0,7.0,2.0,4.0,2.0,0.0,1.0,2.7,3.2,2.6,1.98,1.79
Cesena,Brescia,H,1,0,6.0,6.0,3.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,2.04,3.29,3.6,1.93,1.82
Brescia,Salernitana,H,2,0,9.0,3.0,5.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,2.2,3.1,3.5,2.11,1.7
