HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Utrecht,NAC Breda,D,1.39,4.75,7.0,1.55,2.37,2,2,8,8,4,7,2.25,0.8,0.8,0.75
Vitesse,PSV Eindhoven,A,4.75,4.0,1.66,1.6,2.26,2,4,7,5,16,6,1.25,2.6,3.0,2.25
Sparta Rotterdam,Heerenveen,D,3.0,3.5,2.25,1.67,2.16,0,0,5,6,10,9,1.4,0.4,0.8,2.0
AZ Alkmaar,Willem II,H,1.36,5.0,7.5,1.48,2.54,3,2,7,7,4,12,1.8,2.0,0.6,1.2
Excelsior,Roda,H,1.7,3.6,5.0,1.78,2.0,1,0,2,9,3,10,0.2,2.6,1.0,0.6
Heracles,Groningen,H,2.25,3.5,3.0,1.49,2.52,2,1,10,8,5,10,1.6,0.25,1.6,0.0
VVV Venlo,NAC Breda,D,1.9,3.6,3.79,1.82,1.95,0,0,6,10,6,9,0.8,1.6,0.8,0.8
Ajax,Utrecht,A,1.25,6.0,10.0,1.35,3.0,1,2,11,3,5,10,2.25,2.6,2.0,0.8
Den Haag,Feyenoord,D,6.25,4.75,1.44,1.64,2.18,2,2,4,8,10,4,0.8,1.8,1.4,2.0
PSV Eindhoven,Twente,H,1.16,7.5,15.0,1.27,3.54,4,3,13,2,2,9,3.0,2.4,1.8,0.0
Vitesse,Zwolle,D,1.85,3.79,3.79,1.61,2.24,0,0,9,9,4,5,1.0,2.6,3.0,1.2
Feyenoord,VVV Venlo,D,1.25,6.0,10.0,1.49,2.5,1,1,8,7,6,6,1.4,1.6,0.4,1.6
NAC Breda,Ajax,A,11.0,5.75,1.25,1.47,2.56,0,8,5,10,14,3,0.8,1.0,1.8,2.6
Twente,Heerenveen,A,2.37,3.5,2.79,1.6,2.26,0,4,11,6,7,6,1.8,0.0,0.8,2.0
Willem II,Sparta Rotterdam,D,2.04,3.39,3.6,1.88,1.89,2,2,7,10,3,11,0.6,1.2,1.4,0.4
Den Haag,Heracles,H,2.14,3.39,3.25,1.69,2.12,4,1,6,7,3,8,1.0,1.8,2.0,0.25
Groningen,Vitesse,H,2.89,3.6,2.25,1.65,2.17,4,2,5,4,13,3,1.6,0.0,0.6,2.6
Roda,AZ Alkmaar,A,6.25,4.2,1.5,1.5,2.47,0,1,4,7,9,6,1.0,0.6,1.8,2.0
Utrecht,Excelsior,H,1.44,4.2,7.5,1.6,2.24,3,1,10,10,11,5,2.0,0.8,0.8,2.6
Zwolle,PSV Eindhoven,A,6.0,3.79,1.57,1.51,2.47,0,1,13,5,20,8,3.0,1.2,3.0,2.4
AZ Alkmaar,Twente,H,1.44,4.5,6.5,1.43,2.7,2,0,8,9,4,11,1.8,2.6,1.8,0.0
Groningen,Feyenoord,A,5.75,4.0,1.55,1.61,2.24,0,2,7,5,11,6,1.6,0.0,1.0,1.6
Heerenveen,Zwolle,A,1.9,3.75,3.6,1.63,2.2,1,2,4,11,3,4,0.8,2.0,2.4,1.2
Heracles,NAC Breda,H,1.83,3.75,4.0,1.55,2.36,2,1,10,7,5,5,2.0,0.2,0.8,1.0
VVV Venlo,Willem II,D,2.04,3.29,3.6,1.96,1.81,3,3,3,10,6,13,0.4,1.2,0.8,1.2
Ajax,Roda,H,1.06,11.0,29.0,1.21,4.1,5,1,12,5,3,9,1.8,2.6,0.8,0.6
Excelsior,PSV Eindhoven,A,9.0,5.0,1.33,1.52,2.45,1,2,3,8,17,7,0.8,2.0,3.0,2.4
Sparta Rotterdam,Utrecht,A,3.39,3.5,2.04,1.68,2.11,1,3,4,5,4,11,1.4,0.6,2.0,0.8
Vitesse,Den Haag,H,1.6,4.09,5.0,1.64,2.18,2,0,5,8,5,5,0.6,2.0,1.6,1.8
Zwolle,Utrecht,D,2.37,3.5,2.79,1.65,2.18,1,1,9,4,6,10,2.4,1.8,2.0,1.4
Den Haag,Groningen,A,2.25,3.5,3.0,1.66,2.16,0,3,9,6,6,12,1.6,1.8,1.4,0.0
Feyenoord,Vitesse,H,1.44,4.33,7.0,1.59,2.27,1,0,7,7,12,6,1.0,1.6,1.2,2.0
Twente,Ajax,D,11.0,5.0,1.3,1.48,2.53,3,3,10,8,20,3,1.8,0.0,1.8,2.6
Willem II,Heracles,H,2.2,3.5,3.1,1.65,2.16,3,1,8,10,4,12,0.8,1.4,2.6,0.2
NAC Breda,Excelsior,H,2.37,3.29,2.89,1.84,1.92,3,1,4,14,10,7,0.8,1.0,0.8,2.0
PSV Eindhoven,Sparta Rotterdam,H,1.12,8.0,19.0,1.27,3.5,1,0,14,3,5,10,3.0,3.0,0.8,0.6
Roda,Heerenveen,H,3.79,3.79,1.85,1.67,2.13,2,1,4,8,9,5,0.8,0.6,0.6,2.0
VVV Venlo,AZ Alkmaar,A,4.0,4.2,1.72,1.63,2.2,0,2,6,11,8,3,0.6,1.2,1.8,2.6
Willem II,NAC Breda,D,1.75,3.7,4.5,1.73,2.08,1,1,10,9,5,5,1.4,1.4,1.2,1.0
AZ Alkmaar,Heracles,H,1.36,5.0,7.5,1.36,3.02,5,0,8,8,4,14,1.8,2.6,2.6,0.0
Excelsior,Zwolle,A,3.2,3.39,2.2,1.78,2.0,1,2,4,7,5,2,0.8,1.8,2.0,1.8
Heerenveen,VVV Venlo,D,1.64,3.79,5.0,1.72,2.08,2,2,4,12,5,6,0.6,1.4,0.4,1.2
Twente,Den Haag,A,1.9,3.5,4.0,1.76,2.03,2,3,9,11,5,5,1.4,0.0,1.4,1.8
Ajax,PSV Eindhoven,H,1.8,3.6,4.33,1.66,2.16,3,0,14,5,19,6,1.8,2.6,3.0,3.0
Roda,Groningen,D,2.89,3.5,2.29,1.62,2.23,2,2,5,6,8,9,1.4,0.6,1.4,0.6
NAC Breda,Twente,A,2.45,3.5,2.7,1.69,2.12,1,2,5,13,4,11,1.2,0.6,0.8,0.0
Zwolle,AZ Alkmaar,D,3.2,3.39,2.2,1.52,2.47,1,1,8,5,8,2,2.0,2.2,2.4,2.6
Den Haag,Roda,H,1.72,3.75,4.5,1.76,2.03,3,2,8,8,4,12,1.4,1.8,1.6,0.6
Feyenoord,Heerenveen,D,1.36,4.75,8.5,1.54,2.41,1,1,3,7,8,6,1.0,1.6,0.2,1.4
Groningen,PSV Eindhoven,D,7.5,5.0,1.36,1.42,2.76,3,3,6,6,12,8,1.4,0.8,3.0,2.4
Vitesse,Willem II,D,1.57,3.79,6.0,1.79,1.99,2,2,6,6,9,11,1.2,1.4,1.6,1.4
VVV Venlo,Utrecht,A,3.2,3.6,2.1,1.76,2.03,0,1,5,12,7,7,0.4,1.2,2.0,1.6
Ajax,Excelsior,H,1.1,10.0,19.0,1.27,3.58,3,1,14,5,9,8,1.8,2.6,0.8,1.8
Heracles,Sparta Rotterdam,H,2.14,3.6,3.1,1.61,2.24,3,2,10,4,3,9,2.6,0.0,0.8,0.4
Heerenveen,NAC Breda,H,1.55,3.89,6.0,1.67,2.15,1,0,4,14,4,6,0.2,1.0,0.6,0.6
PSV Eindhoven,Den Haag,H,1.16,7.0,15.0,1.35,3.04,3,0,13,3,6,6,3.0,2.0,1.4,1.8
Roda,VVV Venlo,A,2.6,3.39,2.6,1.78,2.0,0,1,6,5,6,7,1.6,0.6,0.4,1.2
Twente,Vitesse,D,3.0,3.5,2.25,1.73,2.07,1,1,9,13,9,7,0.8,0.6,1.2,1.4
Willem II,Zwolle,A,3.0,3.39,2.29,1.77,2.01,2,3,10,8,6,2,1.6,1.0,1.6,2.2
AZ Alkmaar,Ajax,A,3.39,3.75,2.0,1.61,2.26,1,2,13,6,22,5,2.4,2.2,2.4,2.6
Excelsior,Groningen,H,2.39,3.39,2.79,1.67,2.13,2,0,4,7,9,9,0.8,1.2,1.0,0.8
Sparta Rotterdam,Feyenoord,A,7.0,4.75,1.39,1.67,2.14,0,7,4,8,9,4,0.8,0.4,1.2,1.6
Utrecht,Heracles,D,1.44,4.75,6.0,1.5,2.5,1,1,11,11,3,17,2.0,2.0,2.6,0.0
Den Haag,Zwolle,H,2.89,3.39,2.35,1.74,2.06,4,0,10,10,9,4,1.4,1.2,1.6,2.6
AZ Alkmaar,Heerenveen,H,1.7,4.0,4.5,1.5,2.5,3,1,14,4,7,6,2.4,2.2,0.8,1.0
Excelsior,Twente,D,2.54,3.5,2.6,1.77,2.01,0,0,6,5,6,11,1.4,1.2,0.4,0.6
NAC Breda,Utrecht,H,4.0,3.79,1.8,1.61,2.24,3,1,4,14,7,6,0.6,0.6,1.6,2.0
PSV Eindhoven,Vitesse,H,1.36,5.0,7.5,1.49,2.52,2,1,15,3,8,7,3.0,2.0,1.2,1.0
Ajax,Willem II,H,1.12,8.0,19.0,1.25,3.72,3,1,16,4,8,12,2.4,2.6,1.0,1.0
Feyenoord,Roda,H,1.12,8.0,19.0,1.36,3.0,5,1,4,6,5,13,1.2,2.2,1.0,0.6
Groningen,Sparta Rotterdam,H,1.95,3.6,3.6,1.59,2.27,4,0,8,9,5,11,1.0,0.8,0.8,0.4
VVV Venlo,Heracles,H,1.95,3.5,3.75,1.72,2.08,3,1,3,8,3,16,0.4,1.6,2.6,0.2
Sparta Rotterdam,Vitesse,A,3.7,3.39,2.0,1.88,1.9,0,1,4,13,8,8,0.8,0.4,1.2,0.8
Utrecht,AZ Alkmaar,D,2.75,3.39,2.5,1.58,2.32,1,1,10,12,7,3,1.6,2.0,2.4,2.2
Den Haag,VVV Venlo,D,2.14,3.39,3.29,1.88,1.89,1,1,13,8,6,6,2.0,1.2,1.0,1.6
Roda,Twente,D,3.6,3.5,2.0,1.84,1.94,1,1,5,6,6,10,1.0,0.0,0.4,0.8
Vitesse,Heerenveen,D,2.0,3.5,3.6,1.76,2.03,1,1,7,7,7,6,1.2,0.8,0.8,1.0
Zwolle,NAC Breda,H,1.57,4.0,5.5,1.6,2.27,1,0,7,5,4,6,1.6,2.0,1.2,0.6
Ajax,Feyenoord,H,1.6,4.0,5.25,1.57,2.32,2,0,15,5,16,3,2.4,2.6,1.6,2.2
Heracles,PSV Eindhoven,A,7.5,5.0,1.36,1.4,2.81,1,2,11,5,10,9,2.6,0.2,3.0,2.0
Sparta Rotterdam,Excelsior,A,2.1,3.5,3.29,1.84,1.94,2,3,3,12,8,11,0.8,0.4,1.4,1.2
Willem II,Groningen,D,2.37,3.39,2.89,1.64,2.19,1,1,9,10,7,8,1.0,1.0,1.4,0.8
Utrecht,Feyenoord,D,3.0,3.6,2.2,1.72,2.08,1,1,10,6,12,5,1.8,2.0,1.6,1.6
Heerenveen,Sparta Rotterdam,H,1.5,4.33,6.0,1.62,2.26,2,1,5,10,5,11,0.8,1.0,0.2,0.4
Groningen,Heracles,D,1.75,3.79,4.33,1.47,2.58,3,3,11,8,4,16,1.4,1.0,2.4,0.2
NAC Breda,VVV Venlo,A,2.45,3.39,2.75,1.9,1.88,0,1,7,14,5,7,1.2,0.4,1.0,1.2
Twente,PSV Eindhoven,A,6.0,4.33,1.5,1.55,2.39,0,2,7,14,8,8,0.4,1.0,3.0,2.0
Zwolle,Vitesse,A,2.45,3.29,2.79,1.83,1.95,1,2,5,3,5,8,1.6,2.0,1.2,0.8
Feyenoord,Den Haag,H,1.19,6.5,13.0,1.42,2.75,3,1,9,7,5,9,1.6,1.6,2.0,1.2
Roda,Excelsior,H,2.45,3.39,2.75,1.95,1.82,2,1,5,6,9,12,1.0,0.0,1.4,1.2
Utrecht,Ajax,D,5.5,4.2,1.55,1.56,2.36,0,0,8,6,20,6,1.4,2.0,3.0,2.6
Willem II,AZ Alkmaar,A,4.2,3.6,1.83,1.62,2.22,0,2,9,8,7,3,1.2,1.0,2.4,2.2
Vitesse,Groningen,H,1.61,3.79,5.5,1.64,2.22,2,0,7,7,7,7,1.2,1.4,1.6,1.0
Heerenveen,Twente,H,1.75,3.75,4.33,1.68,2.13,1,0,7,7,6,8,1.4,1.0,0.4,1.0
Heracles,Den Haag,D,2.1,3.5,3.25,1.63,2.22,1,1,11,6,4,12,2.4,0.4,2.0,0.6
PSV Eindhoven,Zwolle,H,1.19,6.5,13.0,1.34,3.1,4,0,13,4,7,8,3.0,2.0,1.0,2.0
Ajax,NAC Breda,H,1.06,12.0,23.0,1.22,4.03,3,1,16,3,2,5,3.0,2.2,1.2,0.4
AZ Alkmaar,Roda,D,1.19,6.5,13.0,1.35,3.09,2,2,14,5,4,17,2.4,2.2,1.6,0.0
Excelsior,Utrecht,D,4.33,3.6,1.8,1.79,2.0,2,2,5,4,8,6,1.4,0.6,1.4,2.0
