HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Nott'm Forest,Bristol City,D,2.64,3.5,2.75,1.73,2.07,0,0,7,3,4,8,2.0,0.4,2.0,0.4
QPR,Birmingham,H,2.7,3.39,2.75,1.7,2.12,3,1,11,6,5,10,2.0,0.8,2.0,0.6
Reading,Ipswich,A,1.9,3.7,4.33,1.98,1.81,0,4,7,5,3,6,1.8,0.0,1.0,0.6
Sheffield United,Preston,A,2.29,3.75,3.1,1.88,1.9,0,1,6,3,8,7,1.8,0.4,1.4,1.8
Wolves,Sheffield Weds,D,1.36,5.25,9.5,1.58,2.32,0,0,12,3,8,10,2.6,2.4,1.4,1.8
Birmingham,Fulham,H,5.0,3.89,1.75,1.71,2.09,3,1,7,3,10,2,2.0,0.6,2.2,3.0
Bolton,Nott'm Forest,H,1.89,3.6,4.5,1.88,1.9,3,2,2,10,1,6,0.6,0.4,1.6,0.4
Brentford,Hull,D,1.8,4.2,4.33,1.43,2.69,1,1,6,6,15,10,1.6,1.4,1.4,1.6
Bristol City,Sheffield United,A,2.7,3.5,2.7,1.72,2.08,2,3,13,7,4,9,2.0,0.6,1.2,0.4
Cardiff,Reading,D,1.33,5.5,11.0,1.69,2.12,0,0,10,6,2,13,2.4,1.4,1.6,0.0
Derby,Barnsley,H,1.75,3.89,5.0,1.74,2.07,4,1,9,9,3,11,1.2,1.0,1.6,0.0
Ipswich,Middlesbrough,D,4.0,3.6,2.0,1.95,1.83,2,2,3,9,6,5,1.0,0.6,2.4,1.6
Leeds,QPR,H,2.14,3.75,3.39,1.52,2.46,2,0,6,8,6,10,1.4,0.2,2.4,0.8
Millwall,Aston Villa,H,2.45,3.6,3.0,1.86,1.92,1,0,6,4,8,4,2.0,1.6,2.0,1.4
Preston,Burton,H,1.53,4.2,7.5,1.68,2.13,2,1,6,5,5,10,1.4,1.8,1.6,0.8
Sheffield Weds,Norwich,H,2.75,3.6,2.62,1.64,2.21,5,1,9,5,6,10,1.4,2.0,1.8,0.6
Sunderland,Wolves,H,6.0,4.5,1.57,1.65,2.18,3,0,3,11,11,5,0.2,1.0,2.2,2.4
Reading,Derby,A,3.6,3.3,2.25,2.18,1.67,1,2,6,8,3,6,1.6,0.2,1.8,1.0
Birmingham,Norwich,D,2.6,3.3,3.0,2.21,1.64,2,2,10,3,4,11,2.6,0.6,1.8,0.6
Brentford,Rotherham,H,1.5,4.75,7.0,1.64,2.21,5,1,6,4,0,0,1.8,1.4,0.0,0.0
Bristol City,Nott'm Forest,D,2.6,3.4,2.87,2.02,1.77,1,1,11,10,3,9,1.4,0.6,1.6,0.2
Ipswich,Blackburn,D,2.75,3.25,2.8,2.2,1.65,2,2,5,11,0,0,1.0,0.6,0.0,0.0
Millwall,Middlesbrough,D,2.75,3.2,2.87,2.32,1.58,2,2,6,3,7,7,2.4,1.6,2.4,1.2
Preston,QPR,H,1.9,3.6,4.5,2.02,1.77,1,0,6,5,3,11,1.4,1.8,2.4,0.2
Sheffield United,Swansea,A,2.25,3.4,3.5,2.19,1.66,1,2,4,4,0,0,1.2,1.0,0.0,0.0
West Brom,Bolton,A,1.44,4.5,9.0,1.89,1.89,1,2,0,0,4,10,0.0,0.0,1.2,0.4
Wigan,Sheffield Weds,H,2.2,3.4,3.6,2.18,1.66,3,2,0,0,8,6,0.0,0.0,2.0,2.0
Leeds,Stoke,H,2.75,3.3,2.8,2.05,1.75,3,1,8,5,0,0,2.0,0.2,0.0,0.0
Hull,Aston Villa,A,2.75,3.3,2.8,2.06,1.73,1,3,8,6,5,5,1.4,1.2,2.0,0.8
Middlesbrough,Sheffield United,H,2.25,3.3,3.6,2.25,1.62,3,0,10,4,7,8,2.4,1.2,1.0,1.0
Nott'm Forest,West Brom,D,2.54,3.3,3.0,2.13,1.69,1,1,5,2,0,0,1.6,0.2,0.0,0.0
Aston Villa,Wigan,H,2.0,3.5,4.1,2.03,1.78,3,2,7,4,0,0,2.0,1.4,3.0,0.0
Blackburn,Millwall,D,2.54,3.25,3.1,2.19,1.67,0,0,0,0,7,5,0.0,1.0,2.0,1.6
Bolton,Bristol City,D,3.0,3.3,2.6,2.1,1.71,2,2,4,9,3,6,1.2,0.8,1.0,0.6
Derby,Leeds,A,2.14,3.5,3.7,1.96,1.84,1,4,12,8,4,10,1.8,1.4,2.6,0.2
Middlesbrough,Birmingham,H,1.72,3.6,6.0,2.26,1.61,1,0,10,3,5,11,2.4,1.2,2.2,0.6
Norwich,West Brom,A,2.75,3.3,2.8,2.13,1.7,3,4,8,8,1,1,1.8,0.6,0.0,1.0
Nott'm Forest,Reading,H,1.66,3.8,6.0,2.09,1.72,1,0,6,3,2,10,1.6,0.2,1.4,0.2
QPR,Sheffield United,A,2.87,3.4,2.62,2.0,1.79,1,2,13,6,7,11,2.4,0.0,1.0,0.8
Rotherham,Ipswich,H,2.4,3.3,3.25,2.22,1.63,1,0,0,0,5,5,0.0,0.0,1.2,0.6
