HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Oostende,Waregem,A,1.8,3.75,4.33,1.47,2.6,0,2,4,6,7,13,1.4,2.4,0.8,0.8
Club Brugge,Oostende,H,1.33,5.25,7.5,1.5,2.5,3,0,10,9,10,7,1.6,1.8,0.8,2.4
Eupen,Antwerp,A,2.7,3.4,2.5,1.6,2.3,0,1,6,8,13,8,1.4,2.0,1.4,2.0
Waregem,Cercle Brugge,A,2.4,3.4,2.87,1.65,2.2,2,4,7,16,4,5,0.8,1.4,1.4,1.0
Anderlecht,Mechelen,H,1.65,3.8,4.75,1.61,2.25,7,2,11,6,7,8,2.0,2.0,2.0,0.8
Gent,Charleroi,A,1.55,4.2,5.25,1.57,2.35,2,3,15,3,7,9,2.6,0.8,1.2,1.0
Seraing,Standard,A,3.6,3.5,2.0,1.75,2.05,0,1,5,4,9,7,2.0,1.0,2.0,2.0
Genk,St. Gilloise,D,2.2,3.6,3.0,1.57,2.35,1,1,14,6,7,4,2.0,2.0,2.0,2.0
Oud-Heverlee Leuven,Kortrijk,H,2.7,3.4,2.5,1.65,2.2,2,1,6,11,7,7,0.4,0.6,0.8,1.8
Beerschot VA,St Truiden,A,2.5,3.4,2.7,1.72,2.07,0,1,3,8,6,8,0.6,0.2,1.2,1.4
Cercle Brugge,Eupen,A,2.05,3.6,3.4,1.85,1.95,1,2,7,5,13,8,1.4,1.6,0.8,2.0
Oostende,Beerschot VA,H,1.7,4.0,4.2,1.65,2.2,3,1,2,8,7,15,0.8,1.8,0.0,0.2
Mechelen,Oud-Heverlee Leuven,H,1.66,3.8,5.0,1.4,2.87,2,0,13,10,5,12,2.0,0.8,1.0,0.6
St. Gilloise,Waregem,H,1.22,6.0,11.0,1.36,3.1,2,1,6,1,9,10,2.0,1.75,0.2,1.4
Charleroi,Club Brugge,A,4.75,3.8,1.65,1.65,2.2,0,1,9,7,9,9,1.2,1.6,2.2,1.8
St Truiden,Genk,A,4.2,3.6,1.83,1.66,2.15,1,2,5,8,10,8,1.2,1.4,2.0,2.0
Antwerp,Seraing,H,1.5,4.33,5.5,1.53,2.4,2,1,10,11,2,6,1.4,2.0,1.5,1.0
Standard,Anderlecht,A,3.4,3.3,2.05,1.8,2.0,0,1,9,7,8,4,2.0,2.4,2.4,2.0
Kortrijk,Gent,H,4.5,3.8,1.75,1.65,2.2,1,0,7,10,10,8,0.8,1.8,2.0,0.8
Antwerp,Genk,H,2.9,3.6,2.05,1.57,2.35,4,2,8,10,10,8,1.4,2.0,2.0,2.0
